Time,Open,High,Low,Close,Volume
04/15/2021 18:00:00,38.1681,38.509,37.8728,38.1408,3451.99
04/15/2021 19:00:00,38.181,38.2575,37.9191,38.2517,4809.97
04/15/2021 20:00:00,38.1732,38.2516,37.5991,37.6468,3083.03
04/15/2021 21:00:00,37.606,38.1094,37.6,38.1094,2350.58
04/15/2021 22:00:00,38.1094,38.299,37.9169,38.299,1888.52
04/15/2021 23:00:00,38.299,38.2995,37.7087,37.8317,2932.52
04/16/2021 00:00:00,37.7503,38.2527,37.5909,37.5909,4217.91
04/16/2021 01:00:00,37.5862,37.6749,36.7464,37.3537,7196.31
04/16/2021 02:00:00,37.3747,37.6579,36.8809,36.9233,4001.29
04/16/2021 03:00:00,36.9317,37.637,36.9317,37.3446,3068.55
04/16/2021 04:00:00,37.3735,37.5367,36.5584,36.6302,5622.15
04/16/2021 05:00:00,36.5533,37.2868,36.4153,36.6433,2576.41
04/16/2021 06:00:00,36.6436,36.6651,35.882,36.421,4250.4
04/16/2021 07:00:00,36.3321,36.8539,36.2001,36.7662,985.16
04/16/2021 08:00:00,36.8241,37.3402,36.6263,37.0502,1862.26
04/16/2021 09:00:00,36.9536,36.9536,36.1307,36.4613,5907.22
04/16/2021 10:00:00,36.39,36.8725,35.7279,35.7317,3401.32
04/16/2021 11:00:00,35.8187,36.1307,34.7604,35.9856,7643.75
04/16/2021 12:00:00,35.8985,36.2318,35.628,36.0567,2224.1
04/16/2021 13:00:00,36.0997,36.2079,34.2859,34.8145,9320.44
04/16/2021 14:00:00,34.8421,35.9338,34.8421,35.8833,7257.75
04/16/2021 15:00:00,35.8834,36.3766,35.7962,36.3085,5641.18
04/16/2021 16:00:00,36.3566,36.4444,35.5002,36.4192,7854.18
04/16/2021 17:00:00,36.362,36.9274,36.362,36.4318,6957.45
04/16/2021 18:00:00,36.4318,36.6232,36.2684,36.3681,1179.89
04/16/2021 19:00:00,36.4028,36.5277,36.0269,36.3739,2838.52
04/16/2021 20:00:00,36.3378,36.9,36.3199,36.7739,2251.32
04/16/2021 21:00:00,36.6933,36.9981,36.6235,36.9133,4364.62
04/16/2021 22:00:00,36.9983,37.2026,36.6205,36.6327,3177.1
04/16/2021 23:00:00,36.6514,37.0186,36.1869,36.1869,4325.91
04/17/2021 00:00:00,36.2263,37.2474,36.1917,37.1312,4864.11
04/17/2021 01:00:00,37.1312,37.5682,37.115,37.274,3109.14
04/17/2021 02:00:00,37.3879,37.5421,36.9084,37.4996,4734.16
04/17/2021 03:00:00,37.5,37.5517,36.7605,37.1025,2859.94
04/17/2021 04:00:00,37.2499,37.5033,37.019,37.3205,1218.99
04/17/2021 05:00:00,37.3747,37.4271,36.831,36.9654,2268.62
04/17/2021 06:00:00,36.9962,37.1347,36.7326,36.9411,3522.42
04/17/2021 07:00:00,36.9719,37.0904,36.3219,36.6171,3201.58
04/17/2021 08:00:00,36.7583,36.8127,36.6282,36.7218,1130.79
